Algorithm            Matrix                         Blocks TPB    Time(ms)   Bandwidth    FLOPS     
SpMV-GPU-sequential  CurlCurl_4.mtx                 8      1024   9.245450   0.027409     0.003125  
SpMV-GPU-sequential  cvxqp3.mtx                     8      1024   0.029491   0.044332     0.004746  
SpMV-GPU-sequential  cyl6.mtx                       8      1024   0.172544   0.034412     0.004219  
SpMV-GPU-sequential  human_gene2.mtx                8      1024   2.076591   0.069720     0.008708  
SpMV-GPU-sequential  lhr10.mtx                      8      1024   0.047213   0.080829     0.009855  
SpMV-GPU-sequential  mawi_201512012345.mtx          8      1024   20.845363  0.025033     0.001825  
SpMV-GPU-sequential  rajat31.mtx                    8      1024   5.294397   0.070125     0.007675  
SpMV-GPU-sequential  spmsrtls.mtx                   8      1024   0.027837   0.085312     0.009338  
SpMV-GPU-sequential  af23560.mtx                    128    128    0.043131   0.184288     0.022455  
SpMV-GPU-sequential  af_shell8.mtx                  128    128    1.724047   0.086434     0.010495  
SpMV-GPU-sequential  CurlCurl_4.mtx                 128    128    2.868695   0.088335     0.010073  
SpMV-GPU-sequential  cvxqp3.mtx                     128    128    0.010547   0.123956     0.013270  
SpMV-GPU-sequential  cyl6.mtx                       128    128    0.032297   0.183842     0.022538  
SpMV-GPU-sequential  human_gene2.mtx                128    128    1.530409   0.094602     0.011816  
SpMV-GPU-sequential  lhr10.mtx                      128    128    0.008057   0.473647     0.057747  
SpMV-GPU-sequential  mawi_201512012345.mtx          128    128    21.078467  0.024757     0.001805  
SpMV-GPU-sequential  rajat31.mtx                    128    128    2.259911   0.164284     0.017980  
SpMV-GPU-sequential  spmsrtls.mtx                   128    128    0.005077   0.467761     0.051199  
SpMV-GPU-sequential  af23560.mtx                    16     128    0.187392   0.042416     0.005168  
SpMV-GPU-sequential  af_shell8.mtx                  16     128    5.339341   0.027909     0.003389  
SpMV-GPU-sequential  CurlCurl_4.mtx                 16     128    8.590807   0.029497     0.003364  
SpMV-GPU-sequential  cvxqp3.mtx                     16     128    0.029184   0.044798     0.004796  
SpMV-GPU-sequential  cyl6.mtx                       16     128    0.129188   0.045961     0.005635  
SpMV-GPU-sequential  human_gene2.mtx                16     128    2.177191   0.066499     0.008306  
SpMV-GPU-sequential  lhr10.mtx                      16     128    0.033923   0.112494     0.013715  
SpMV-GPU-sequential  mawi_201512012345.mtx          16     128    20.767744  0.025127     0.001832  
SpMV-GPU-sequential  rajat31.mtx                    16     128    11.405701  0.032551     0.003562  
SpMV-GPU-sequential  spmsrtls.mtx                   16     128    0.021919   0.108346     0.011859  
SpMV-GPU-sequential  af23560.mtx                    1      128    2.218045   0.003584     0.000437  
SpMV-GPU-sequential  af_shell8.mtx                  1      128    63.572111  0.002344     0.000285  
SpMV-GPU-sequential  CurlCurl_4.mtx                 1      128    107.358904 0.002360     0.000269  
